"Pais","Fecha","Infectados","Muertos","NI","NM","Letalidad","IDA","MDA","FCI","FCM","Dia"
"Mexico",2020-02-28,1,0,1,0,0,NA,NA,NA,NA,1
"Mexico",2020-02-29,4,0,3,0,0,1,0,4,NA,2
"Mexico",2020-03-01,5,0,1,0,0,4,0,1.25,NA,3
"Mexico",2020-03-02,5,0,0,0,0,5,0,1,NA,4
"Mexico",2020-03-03,5,0,0,0,0,5,0,1,NA,5
"Mexico",2020-03-04,5,0,0,0,0,5,0,1,NA,6
"Mexico",2020-03-05,5,0,0,0,0,5,0,1,NA,7
"Mexico",2020-03-06,6,0,1,0,0,5,0,1.2,NA,8
"Mexico",2020-03-07,6,0,0,0,0,6,0,1,NA,9
"Mexico",2020-03-08,7,0,1,0,0,6,0,1.16666666666667,NA,10
"Mexico",2020-03-09,7,0,0,0,0,7,0,1,NA,11
"Mexico",2020-03-10,7,0,0,0,0,7,0,1,NA,12
"Mexico",2020-03-11,8,0,1,0,0,7,0,1.14285714285714,NA,13
"Mexico",2020-03-12,12,0,4,0,0,8,0,1.5,NA,14
"Mexico",2020-03-13,26,0,14,0,0,12,0,2.16666666666667,NA,15
"Mexico",2020-03-14,41,0,15,0,0,26,0,1.57692307692308,NA,16
"Mexico",2020-03-15,53,0,12,0,0,41,0,1.29268292682927,NA,17
"Mexico",2020-03-16,82,0,29,0,0,53,0,1.54716981132075,NA,18
"Mexico",2020-03-17,93,0,11,0,0,82,0,1.13414634146341,NA,19
"Mexico",2020-03-18,118,0,25,0,0,93,0,1.26881720430108,NA,20
"Mexico",2020-03-19,164,1,46,1,0.6,118,0,1.38983050847458,Inf,21
"Mexico",2020-03-20,203,2,39,1,1,164,1,1.23780487804878,2,22
"Mexico",2020-03-21,251,2,48,0,0.8,203,2,1.23645320197044,1,23
"Mexico",2020-03-22,316,3,65,1,0.9,251,2,1.25896414342629,1.5,24
"Mexico",2020-03-23,367,4,51,1,1.1,316,3,1.16139240506329,1.33333333333333,25
"Mexico",2020-03-24,405,5,38,1,1.2,367,4,1.10354223433243,1.25,26
"Mexico",2020-03-25,475,6,70,1,1.3,405,5,1.17283950617284,1.2,27
"Mexico",2020-03-26,585,8,110,2,1.4,475,6,1.23157894736842,1.33333333333333,28
"Mexico",2020-03-27,717,12,132,4,1.7,585,8,1.22564102564103,1.5,29
"Mexico",2020-03-28,848,16,131,4,1.9,717,12,1.18270571827057,1.33333333333333,30
"Mexico",2020-03-29,993,20,145,4,2,848,16,1.17099056603774,1.25,31
"Mexico",2020-03-30,1094,28,101,8,2.6,993,20,1.10171198388721,1.4,32
"Mexico",2020-03-31,1215,29,121,1,2.4,1094,28,1.11060329067642,1.03571428571429,33
"Mexico",2020-04-01,1378,37,163,8,2.7,1215,29,1.13415637860082,1.27586206896552,34
"Mexico",2020-04-02,1510,50,132,13,3.3,1378,37,1.09579100145138,1.35135135135135,35
"Mexico",2020-04-03,1688,60,178,10,3.6,1510,50,1.11788079470199,1.2,36
"Mexico",2020-04-04,1890,79,202,19,4.2,1688,60,1.1196682464455,1.31666666666667,37
"Mexico",2020-04-05,2143,94,253,15,4.4,1890,79,1.13386243386243,1.18987341772152,38
"Mexico",2020-04-06,2439,125,296,31,5.1,2143,94,1.13812412505833,1.32978723404255,39
"Mexico",2020-04-07,2785,141,346,16,5.1,2439,125,1.14186141861419,1.128,40
"Mexico",2020-04-08,3181,174,396,33,5.5,2785,141,1.14219030520646,1.23404255319149,41
"Mexico",2020-04-09,3441,194,260,20,5.6,3181,174,1.08173530336372,1.11494252873563,42
"Mexico",2020-04-10,3844,233,403,39,6.1,3441,194,1.11711711711712,1.20103092783505,43
"Mexico",2020-04-11,4219,273,375,40,6.5,3844,233,1.09755463059313,1.17167381974249,44
"Mexico",2020-04-12,4661,296,442,23,6.4,4219,273,1.10476416212373,1.08424908424908,45
"Mexico",2020-04-13,5014,332,353,36,6.6,4661,296,1.07573482085389,1.12162162162162,46
