id_client,semana,predicciones,probabilidad,tipo_alerta
126517,2024-06-24,1.0,0.651,riesgo
780665,2024-06-17,1.0,0.651,riesgo
816698,2024-06-24,1.0,0.651,riesgo
799699,2024-06-03,1.0,0.651,riesgo
179830,2024-06-03,1.0,0.651,riesgo
798900,2024-06-10,1.0,0.651,riesgo
787944,2024-06-10,1.0,0.651,riesgo
181361,2024-06-17,1.0,0.651,riesgo
811951,2024-06-24,1.0,0.651,riesgo
8625,2024-06-24,1.0,0.651,riesgo
160881,2024-06-17,1.0,0.651,riesgo
819920,2024-06-24,1.0,0.651,riesgo
8870,2024-06-17,1.0,0.651,riesgo
81621,2024-06-17,1.0,0.651,riesgo
170353,2024-06-24,1.0,0.651,riesgo
163919,2024-06-17,1.0,0.651,riesgo
134951,2024-06-03,1.0,0.651,riesgo
173458,2024-06-24,1.0,0.651,riesgo
796875,2024-06-17,1.0,0.651,riesgo
167043,2024-06-03,1.0,0.651,riesgo
61165,2024-06-17,1.0,0.651,riesgo
162730,2024-06-10,1.0,0.651,riesgo
790660,2024-06-17,1.0,0.651,riesgo
106321,2024-06-10,1.0,0.651,riesgo
172900,2024-06-03,1.0,0.651,riesgo
9878,2024-06-17,1.0,0.651,riesgo
176726,2024-06-10,1.0,0.651,riesgo
120584,2024-06-17,1.0,0.651,riesgo
127797,2024-06-17,1.0,0.651,riesgo
119921,2024-06-03,1.0,0.651,riesgo
813260,2024-06-24,1.0,0.651,riesgo
761661,2024-06-24,1.0,0.651,riesgo
185747,2024-06-17,1.0,0.651,riesgo
818787,2024-06-24,1.0,0.651,riesgo
803517,2024-06-17,1.0,0.651,riesgo
812303,2024-06-10,1.0,0.651,riesgo
819139,2024-06-17,1.0,0.651,riesgo
768791,2024-06-10,1.0,0.651,riesgo
177864,2024-06-10,1.0,0.651,riesgo
126624,2024-06-10,1.0,0.651,riesgo
185803,2024-06-03,1.0,0.651,riesgo
9509,2024-06-24,1.0,0.651,riesgo
86134,2024-06-24,1.0,0.651,riesgo
191742,2024-06-03,1.0,0.652,riesgo
750230,2024-06-10,1.0,0.652,riesgo
191206,2024-06-10,1.0,0.652,riesgo
119918,2024-06-03,1.0,0.652,riesgo
182581,2024-06-10,1.0,0.652,riesgo
819388,2024-06-03,1.0,0.652,riesgo
805920,2024-06-10,1.0,0.652,riesgo
168575,2024-06-03,1.0,0.652,riesgo
184258,2024-06-24,1.0,0.652,riesgo
8230,2024-06-10,1.0,0.652,riesgo
190689,2024-06-10,1.0,0.652,riesgo
818189,2024-06-10,1.0,0.652,riesgo
12117,2024-06-17,1.0,0.652,riesgo
161132,2024-06-10,1.0,0.652,riesgo
176591,2024-06-24,1.0,0.652,riesgo
805294,2024-06-24,1.0,0.652,riesgo
819284,2024-06-24,1.0,0.652,riesgo
175550,2024-06-03,1.0,0.652,riesgo
36303,2024-06-03,1.0,0.652,riesgo
11790,2024-06-10,1.0,0.652,riesgo
798094,2024-06-17,1.0,0.652,riesgo
177098,2024-06-03,1.0,0.652,riesgo
805786,2024-06-17,1.0,0.652,riesgo
142037,2024-06-10,1.0,0.652,riesgo
172194,2024-06-17,1.0,0.652,riesgo
176607,2024-06-24,1.0,0.652,riesgo
185786,2024-06-10,1.0,0.652,riesgo
809420,2024-06-10,1.0,0.652,riesgo
702927,2024-06-17,1.0,0.652,riesgo
14329,2024-06-24,1.0,0.652,riesgo
809194,2024-06-24,1.0,0.652,riesgo
729761,2024-06-03,1.0,0.652,riesgo
121961,2024-06-24,1.0,0.652,riesgo
83054,2024-06-10,1.0,0.652,riesgo
164910,2024-06-17,1.0,0.652,riesgo
809370,2024-06-24,1.0,0.652,riesgo
185951,2024-06-17,1.0,0.652,riesgo
790584,2024-06-24,1.0,0.652,riesgo
819230,2024-06-03,1.0,0.652,riesgo
819095,2024-06-03,1.0,0.652,riesgo
68115,2024-06-24,1.0,0.652,riesgo
791236,2024-06-24,1.0,0.653,riesgo
185895,2024-06-24,1.0,0.653,riesgo
182581,2024-06-03,1.0,0.653,riesgo
184830,2024-06-10,1.0,0.653,riesgo
181417,2024-06-03,1.0,0.653,riesgo
128320,2024-06-24,1.0,0.653,riesgo
181343,2024-06-03,1.0,0.653,riesgo
767508,2024-06-10,1.0,0.653,riesgo
818156,2024-06-03,1.0,0.653,riesgo
817204,2024-06-17,1.0,0.653,riesgo
794376,2024-06-10,1.0,0.653,riesgo
25843,2024-06-17,1.0,0.653,riesgo
778978,2024-06-10,1.0,0.653,riesgo
764857,2024-06-10,1.0,0.653,riesgo
68580,2024-06-24,1.0,0.653,riesgo
819865,2024-06-03,1.0,0.653,riesgo
812747,2024-06-03,1.0,0.653,riesgo
154735,2024-06-24,1.0,0.653,riesgo
752853,2024-06-10,1.0,0.653,riesgo
820014,2024-06-03,1.0,0.653,riesgo
135899,2024-06-03,1.0,0.653,riesgo
790781,2024-06-24,1.0,0.653,riesgo
167967,2024-06-03,1.0,0.653,riesgo
170885,2024-06-10,1.0,0.653,riesgo
776724,2024-06-03,1.0,0.653,riesgo
815738,2024-06-03,1.0,0.653,riesgo
813599,2024-06-24,1.0,0.653,riesgo
794774,2024-06-17,1.0,0.653,riesgo
192878,2024-06-17,1.0,0.653,riesgo
119930,2024-06-10,1.0,0.653,riesgo
12697,2024-06-03,1.0,0.653,riesgo
128148,2024-06-10,1.0,0.653,riesgo
163900,2024-06-10,1.0,0.653,riesgo
816941,2024-06-03,1.0,0.653,riesgo
193247,2024-06-17,1.0,0.653,riesgo
804652,2024-06-10,1.0,0.653,riesgo
116562,2024-06-17,1.0,0.653,riesgo
815884,2024-06-03,1.0,0.653,riesgo
766336,2024-06-03,1.0,0.653,riesgo
9919,2024-06-10,1.0,0.653,riesgo
177034,2024-06-10,1.0,0.653,riesgo
785106,2024-06-17,1.0,0.653,riesgo
763988,2024-06-03,1.0,0.653,riesgo
192926,2024-06-03,1.0,0.653,riesgo
171105,2024-06-24,1.0,0.653,riesgo
810314,2024-06-10,1.0,0.653,riesgo
176525,2024-06-24,1.0,0.654,riesgo
813126,2024-06-03,1.0,0.654,riesgo
808393,2024-06-10,1.0,0.654,riesgo
818116,2024-06-24,1.0,0.654,riesgo
809957,2024-06-10,1.0,0.654,riesgo
816307,2024-06-03,1.0,0.654,riesgo
815853,2024-06-03,1.0,0.654,riesgo
813330,2024-06-10,1.0,0.654,riesgo
755539,2024-06-03,1.0,0.654,riesgo
180089,2024-06-03,1.0,0.654,riesgo
815752,2024-06-24,1.0,0.654,riesgo
